,time,crime_type,crime_description,crime_intensity
371,2015-04,Property,Burglary,0.002553253645807723
372,2015-05,Property,Burglary,0.0025323474474982298
373,2015-06,Property,Burglary,0.0024978624328436073
374,2015-07,Property,Burglary,0.0024706696572033946
375,2015-08,Property,Burglary,0.002489987997529597
376,2015-09,Property,Burglary,0.0025197781538579688
377,2015-10,Property,Burglary,0.0025126032111649306
378,2015-11,Property,Burglary,0.002530820879278724
379,2015-12,Property,Burglary,0.0025589240239918144
380,2016-01,Property,Burglary,0.0025793173198899494
381,2016-02,Property,Burglary,0.0026027657526767325
382,2016-03,Property,Burglary,0.002637730097069045
383,2016-04,Property,Burglary,0.0026538750039604053
384,2016-05,Property,Burglary,0.0026647942895068723
385,2016-06,Property,Burglary,0.0026978864624724696
386,2016-07,Property,Burglary,0.0027196015936911144
387,2016-08,Property,Burglary,0.0027479259015123062
388,2016-09,Property,Burglary,0.002798027060489286
389,2016-10,Property,Burglary,0.002816789921381189
390,2016-11,Property,Burglary,0.002828146389815762
391,2016-12,Property,Burglary,0.0028092137990967125
392,2017-01,Property,Burglary,0.002828578429375773
393,2017-02,Property,Burglary,0.002868840401706315
394,2017-03,Property,Burglary,0.0028560952346859923
395,2017-04,Property,Burglary,0.002869730197466813
396,2017-05,Property,Burglary,0.0028604979235356265
397,2017-06,Property,Burglary,0.0028560026547802746
398,2017-07,Property,Burglary,0.0028537601637306934
399,2017-08,Property,Burglary,0.0027912995873405426
400,2001-01,Property,Embezzlement,
401,2001-02,Property,Embezzlement,
402,2001-03,Property,Embezzlement,
403,2001-04,Property,Embezzlement,
404,2001-05,Property,Embezzlement,
405,2001-06,Property,Embezzlement,
406,2001-07,Property,Embezzlement,
407,2001-08,Property,Embezzlement,
408,2001-09,Property,Embezzlement,
409,2001-10,Property,Embezzlement,
410,2001-11,Property,Embezzlement,
411,2001-12,Property,Embezzlement,9.29476819861452e-06
412,2002-01,Property,Embezzlement,1.0070192387878635e-05
413,2002-02,Property,Embezzlement,9.796971756030211e-06
414,2002-03,Property,Embezzlement,1.0013562074368906e-05
415,2002-04,Property,Embezzlement,1.0090297653270046e-05
416,2002-05,Property,Embezzlement,1.0097017260465355e-05
417,2002-06,Property,Embezzlement,1.0314240528089116e-05
418,2002-07,Property,Embezzlement,1.018069505009341e-05
419,2002-08,Property,Embezzlement,1.0046971347513145e-05
420,2002-09,Property,Embezzlement,9.561541791583349e-06
421,2002-10,Property,Embezzlement,9.216168395577648e-06
422,2002-11,Property,Embezzlement,8.588735275290965e-06
423,2002-12,Property,Embezzlement,8.242248851808946e-06
424,2003-01,Property,Embezzlement,7.472336054920261e-06
425,2003-02,Property,Embezzlement,6.913014525795418e-06
426,2003-03,Property,Embezzlement,6.705884325260094e-06
427,2003-04,Property,Embezzlement,6.569111824295329e-06
428,2003-05,Property,Embezzlement,6.3614726597158115e-06
429,2003-06,Property,Embezzlement,6.295015550103017e-06
430,2003-07,Property,Embezzlement,6.016134919965055e-06
431,2003-08,Property,Embezzlement,6.232658777867684e-06
432,2003-09,Property,Embezzlement,6.662094154880575e-06
433,2003-10,Property,Embezzlement,6.6665815613701375e-06
434,2003-11,Property,Embezzlement,6.387199484482029e-06
435,2003-12,Property,Embezzlement,6.178457281826776e-06
436,2004-01,Property,Embezzlement,5.9694333035749975e-06
437,2004-02,Property,Embezzlement,6.329028408804032e-06
438,2004-03,Property,Embezzlement,6.190984396762399e-06
439,2004-04,Property,Embezzlement,6.266380264605029e-06
440,2004-05,Property,Embezzlement,6.270621124618084e-06
441,2004-06,Property,Embezzlement,6.3461730437386805e-06
442,2004-07,Property,Embezzlement,6.493181000452918e-06
443,2004-08,Property,Embezzlement,6.283378215456323e-06
444,2004-09,Property,Embezzlement,5.716038292455025e-06
445,2004-10,Property,Embezzlement,5.719919835323507e-06
446,2004-11,Property,Embezzlement,6.296187318727488e-06
447,2004-12,Property,Embezzlement,6.7300460399585725e-06
448,2005-01,Property,Embezzlement,6.591335581910149e-06
449,2005-02,Property,Embezzlement,6.810904903994915e-06
450,2005-03,Property,Embezzlement,7.17425861659847e-06
451,2005-04,Property,Embezzlement,7.394524821014806e-06
452,2005-05,Property,Embezzlement,7.471410629266984e-06
453,2005-06,Property,Embezzlement,7.3327328160641455e-06
454,2005-07,Property,Embezzlement,7.337742813193475e-06
455,2005-08,Property,Embezzlement,7.630711020294448e-06
456,2005-09,Property,Embezzlement,7.852043016949425e-06
457,2005-10,Property,Embezzlement,8.289937313656627e-06
458,2005-11,Property,Embezzlement,7.934937837877314e-06
